Station,LAT,LONG,,,,,,,
Alipur,28.815329,77.15301,,,,,,,
Anand Vihar,28.647622,77.315809,,,,,,,
Ashok Vihar,28.695381,77.181665,,,,,,,
Aya Nagar,28.4706914,77.1099364,,,,,,,
Bawana,28.7762,77.051074,,,,,,,
Burari Crossing,28.7256504,77.2011573,,,,,,,
CRRI Mathura Road,28.5512005,77.2735737,,,,,,,
DTU,28.7500499,77.1112615,,,,,,,
Dr. Karni Singh Shooting Range,28.498571,77.26484,,,,,,,
Dwarka Sector 8,28.5710274,77.0719006,,,,,,,
IGI Airport,28.5627763,77.1180053,,,,,,,
Ihbas Dilshad Garden,28.6811736,77.3025234,,,,,,,
ITO,28.628624,77.24106,,,,,,,
Jahangirpuri,28.73282,77.170633,,,,,,,
Jawaharlal Nehru Stadium,28.58028,77.233829,,,,,,,
Lodhi Road IMD,28.5918245,77.2273074,,,,,,,
Major Dhyan Chand National Stadium,28.611281,77.237738,,,,,,,
Mandir Marg,28.636429,77.201067,,,,,,,
Mundka,28.684678,77.076574,,,,,,,
Najafgarh,28.570173,76.933762,,,,,,,
Narela,28.822836,77.101981,,,,,,,
Nehru Nagar,28.56789,77.250515,,,,,,,
North Campus DU,28.6573814,77.1585447,,,,,,,
NSIT Dwarka,28.60909,77.0325413,,,,,,,
Okhla Phase 2,28.530785,77.271255,,,,,,,
Patparganj,28.623763,77.287209,,,,,,,
Punjabi Bagh,28.674045,77.131023,,,,,,,
PUSA DPCC,28.639645,77.146262,,,,,,,
PUSA IMD,28.482605,77.126774,,,,,,,
R K Puram,28.563262,77.186937,,,,,,,
Rohini,28.732528,77.11992,,,,,,,
Shadipur,28.6514781,77.1473105,,,,,,,
Sirifort,28.5504249,77.2159377,,,,,,,
Sonia Vihar,28.710508,77.249485,,,,,,,
Sri Aurobindo Marg,28.531346,77.190156,,,,,,,
Vivek Vihar,28.672342,77.31526,,,,,,,
Wazirpur,28.699793,77.165453,,,,,,,
,,,,,,,,,
,,,,,,,,,*
